sample_name,grp
sam4309,1
sam2478,0
sam1084,1
sam3589,1
sam4779,1
sam4510,0
sam1295,0
sam1810,0
sam792,0
sam793,1
sam4115,0
sam1856,1
sam4758,1
sam1981,1
sam3234,0
sam3909,0
sam4985,1
sam3329,1
sam1531,0
sam1411,1
sam4295,1
sam4649,1
sam84,1
sam869,0
sam2351,0
sam21,0
sam3425,1
sam2796,1
sam4573,0
sam1563,1
sam3094,0
sam3156,1
sam974,1
sam1711,1
sam3202,1
sam4372,1
sam4820,1
sam1099,0
sam4162,0
sam2845,1
sam887,1
sam4932,1
sam3679,1
sam4581,0
sam3567,1
sam4402,0
sam516,1
sam4621,0
sam738,1
sam1454,1
sam3972,0
sam4701,0
sam2507,0
sam2995,0
sam2127,1
sam2927,0
sam4746,0
sam907,0
sam3648,0
sam1031,1
sam2508,1
sam2429,1
sam948,0
sam3807,1
sam4755,0
sam716,1
sam4056,1
sam687,1
sam704,0
sam3342,1
sam2354,0
sam2258,1
sam3552,1
sam474,1
sam22,1
sam2753,1
sam886,1
sam2449,0
sam918,1
sam3758,0
sam3752,1
sam2240,0
sam3845,1
sam3396,0
sam1266,0
sam484,0
sam4338,1
sam2964,0
sam1220,1
sam278,1
sam989,0
sam2085,1
sam1246,1
sam2383,0
sam572,0
sam1436,0
sam994,0
sam3931,1
sam3448,0
sam586,0
sam3659,0
sam2515,0
sam1350,0
sam1008,1
sam675,0
sam2413,1
sam2904,0
sam448,1
sam3835,0
sam3759,0
sam3704,1
sam360,0
sam2065,1
sam4450,0
sam3811,1
sam1691,0
sam4327,1
sam1549,0
sam1248,0
sam1986,1
sam295,0
sam1548,1
sam2013,0
sam589,0
sam3330,1
sam2404,1
sam2130,1
sam4389,1
sam2411,0
sam2720,0
sam426,1
sam2583,1
sam1055,0
sam3967,0
sam4563,1
sam557,0
sam4359,1
sam3939,1
sam4713,0
sam2470,1
sam4711,0
sam356,0
sam1194,1
sam1717,1
sam3417,1
sam2605,0
sam4130,1
sam2829,1
sam1705,1
sam2864,1
sam2619,0
sam2401,1
sam2140,0
sam3240,1
sam2384,0
sam3219,1
sam3936,1
sam1286,1
sam3797,1
sam4895,1
sam4469,0
sam2088,0
sam1890,0
sam4623,0
sam1592,0
sam1347,0
sam4432,0
sam2163,0
sam2397,1
sam4769,1
sam2272,0
sam4491,1
sam3112,1
sam1138,0
sam3896,1
sam973,0
sam796,1
sam3021,1
sam1712,0
sam3388,0
sam37,0
sam454,0
sam914,1
sam4082,1
sam1200,0
sam1275,0
sam2376,0
sam38,1
sam975,0
sam3196,0
sam984,0
sam3905,0
sam4070,1
sam1419,1
sam3333,1
sam1561,0
sam40,0
sam1487,0
sam3884,0
sam170,0
sam1356,0
sam2786,1
sam3633,1
sam4749,0
sam4005,1
sam2683,0
sam4705,1
sam4026,1
sam1641,0
sam1291,1
sam1381,0
sam1934,0
sam580,1
sam4221,0
sam3161,1
sam2031,0
sam893,0
sam3952,0
sam781,1
sam160,0
sam3,1
sam2264,0
sam3217,0
sam2110,0
sam850,0
sam2738,0
sam2467,1
sam3651,1
sam1597,0
sam1777,1
sam1914,1
sam1044,0
sam4714,0
sam1545,0
sam2737,0
sam3707,1
sam4618,0
sam54,1
